From-Switch,To-Switch,Type,Total-Length,Couplers
ESNORE,SWFIRSTAID,fibre,358.3,2
ESNORE,SWSTAGEB,fibre,439.2,2
SWDKB2,SWDKB3,copper,50.7,0
ESNORE,SWSTAGEC,fibre,226.4,0
ESNORE,SWNOC,fibre,59.2,0
ESNORE,SWDKA2,fibre,592.9,3
SWDKE2,SWKIDS,copper,36.2,0
ESNORE,SWDKG1,fibre,206.7,0
ESNORE,UPLINK,fibre,1073.5,1
ESNORE,SWHQ,fibre,83.5,1
SWWORKSHOP2,SWWORKSHOP3,copper,11.4,0
ESNORE,SWDKD1,fibre,646.0,3
SWSTAGEB,SWDKE1,copper,27.5,0
SWDKX2,SWENTRANCE,copper,31.3,0
SWDKG1,SWLOUNGE,copper,44.1,0
ESNORE,SWDKF1,fibre,484.5,3
ESNORE,SWDKV3,fibre,180.1,2
ESNORE,SWCABINET,fibre,1072.4,0
ESNORE,SWSTAGEA,fibre,63.1,0
ESNORE,SWINFODESK,fibre,382.2,3
ESNORE,SWVOC,fibre,79.4,1
ESNORE,SWCREW,fibre,82.9,1
ESNORE,SWDKX2,fibre,187.9,2
ESNORE,SWDKE2,fibre,352.6,1
ESNORE,SWNOCDC,fibre,2.2,0
ESNORE,SWDKF2,fibre,227.6,2
ESNORE,SWWORKSHOP2,fibre,360.9,2
ESNORE,SWBAR1,fibre,466.0,2
SWWORKSHOP1,SWWORKSHOP4,copper,12.3,0
ESNORE,SWDKX1,fibre,136.7,1
ESNORE,SWDKL1,fibre,320.4,1
ESNORE,SWDKC1,fibre,578.2,3
ESNORE,SWDKB2,fibre,516.8,2
SWSTAGEC,SWARCADE,copper,42.2,0
ESNORE,SWDKF3,fibre,147.7,1
SWCABINET,SWGATE,copper,24.7,0
SWLOUNGE,SWDKG2,copper,41.4,0
ESNORE,SWDKV2,fibre,114.2,1
ESNORE,SWDKB1,fibre,585.3,3
SWDKA2,SWDKA1,copper,65.2,0
ESNORE,SWBADGE,fibre,387.7,3
ESNORE,SWDKV1,copper,56.1,0
ESNORE,SWWORKSHOP1,fibre,430.1,2
ESNORE,SWBAR2,fibre,376.3,2
