From-Switch,To-Switch,Type,Subtype,Length,Cores
SWWORKSHOP2,SWWORKSHOP3,copper,CCA,11.4,1
SWWORKSHOP1,SWWORKSHOP4,copper,CCA,12.3,1
ESNORE,SWNOC,fibre,Fibre,59.2,6
SWNOC,SWVOC,fibre,Fibre,20.2,1
SWNOC,SWHQ,fibre,Fibre,24.3,1
SWNOC,SWDKF3,fibre,Fibre,88.5,2
ESNORE,SWSTAGEA,fibre,Fibre,63.1,5
SWSTAGEA,SWDKX1,fibre,Fibre,73.6,2
SWDKX1,SWDKX2,fibre,Fibre,51.2,1
ESNORE,SWSTAGEC,fibre,Fibre,226.4,7
ESNORE,SWDKV1,copper,Copper,56.1,1
ESNORE,SWDKG1,fibre,Fibre,206.7,11
SWDKG1,SWLOUNGE,copper,Copper,44.1,2
SWLOUNGE,SWDKG2,copper,Copper,41.4,1
SWSTAGEC,SWARCADE,copper,Copper,42.2,1
SWSTAGEC,SWDKL1,fibre,Fibre,94.0,6
SWDKL1,SWBAR2,fibre,Fibre,55.9,1
SWDKL1,SWWORKSHOP2,fibre,Fibre,40.5,2
SWWORKSHOP2,SWBADGE,fibre,Fibre,26.8,1
SWDKL1,SWFIRSTAID,fibre,Fibre,37.9,2
SWDKE2,SWWORKSHOP1,fibre,Fibre,77.5,2
SWDKE2,SWDKB2,fibre,Fibre,164.2,5
SWDKG1,SWDKE2,fibre,Fibre,145.9,10
SWDKB2,SWDKB3,copper,Copper,50.7,1
SWDKB2,SWDKB1,fibre,Fibre,68.5,1
SWDKB2,SWDKC1,fibre,Fibre,61.4,1
SWFIRSTAID,SWINFODESK,fibre,Fibre,23.9,1
SWDKE2,SWBAR1,fibre,Fibre,113.4,1
SWSTAGEB,SWDKE1,copper,CCA,27.5,1
SWDKX2,SWENTRANCE,copper,Copper,31.3,1
SWNOC,SWCREW,fibre,Fibre,23.7,1
SWDKF3,SWDKF2,fibre,Fibre,79.9,1
SWDKB2,SWDKD1,fibre,Fibre,129.2,1
SWWORKSHOP1,SWDKF1,fibre,Fibre,54.4,1
ESNORE,SWNOCDC,fibre,Fibre,2.2,1
SWSTAGEA,SWDKV2,fibre,Fibre,51.1,2
SWDKV2,SWDKV3,fibre,Fibre,65.9,1
SWDKB2,SWDKA2,fibre,Fibre,76.1,1
SWDKA2,SWDKA1,copper,Copper,65.2,1
SWDKE2,SWKIDS,copper,Copper,36.2,1
SWCABINET,SWGATE,copper,CCA,24.7,1
ESNORE,SWCABINET,fibre,Fibre,1072.4,2
SWCABINET,UPLINK,fibre,Fibre,1.1,1
SWDKE2,SWSTAGEB,fibre,Fibre,86.6,1
